POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
204970,6,770306,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,204970---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289472.71,5043076.55,-73.696221,45.527438,Saint-Laurent
204970,7,772771,14923,7H00 À 9H00 - 16H00 À 19H00 - LUN À VEN,SLR-ST-189,0,204970---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289472.71,5043076.55,-73.696221,45.527438,Saint-Laurent
204971,7,772454,11,\A EN TOUT TEMPS,AD-TT,2,204971---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289514.81,5043095.98,-73.695683,45.527613,Saint-Laurent
204972,6,770307,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,204972---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289553.57,5043113.0,-73.695187,45.527767,Saint-Laurent
204972,7,772772,14923,7H00 À 9H00 - 16H00 À 19H00 - LUN À VEN,SLR-ST-189,0,204972---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289553.57,5043113.0,-73.695187,45.527767,Saint-Laurent
204973,7,772455,11,\A EN TOUT TEMPS,AD-TT,0,204973---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,289376.82,5043016.09,-73.697447,45.526891,Saint-Laurent
204984,7,771572,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,204984---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291057.13,5043454.86,-73.675948,45.530875,Saint-Laurent
204985,7,771573,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,204985---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291066.54,5043415.08,-73.675827,45.530517,Saint-Laurent
204988,7,771574,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,204988---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291117.42,5043296.76,-73.675172,45.529453,Saint-Laurent
204992,7,771575,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,204992---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291070.99,5043191.6,-73.675763,45.528506,Saint-Laurent
204999,6,771576,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,204999---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291098.69,5043317.86,-73.675412,45.529643,Saint-Laurent
205008,7,768045,2413,\P EN TOUT TEMPS,SD-TT,8,205008---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290962.83,5043085.19,-73.677145,45.527547,Saint-Laurent
205017,7,771577,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,205017---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290977.96,5043265.68,-73.676956,45.529171,Saint-Laurent
205025,7,771578,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,205025---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291052.82,5043304.55,-73.675999,45.529522,Saint-Laurent
205051,7,757182,14824,15 MÈTRES,SLR-ST-09,2,205051---1,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290807.18,5043249.62,-73.679142,45.529023,Saint-Laurent
205051,6,768046,2413,\P EN TOUT TEMPS,SD-TT,0,205051---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290807.18,5043249.62,-73.679142,45.529023,Saint-Laurent
205053,7,771579,15005,8H À 16H30 - MAR JEU,SLR-ST-88,0,205053---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290846.38,5043233.9,-73.67864,45.528882,Saint-Laurent
205055,7,770308,14985,8H À 17H - LUN MER VEN,SLR-ST-68,0,205055---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290944.29,5043458.02,-73.677393,45.530901,Saint-Laurent
205056,6,771651,14982,8H À 16H30 - LUN MER VEN,SLR-ST-65,0,205056---2,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290861.22,5043251.05,-73.67845,45.529037,Saint-Laurent
205058,7,771652,14982,8H À 16H30 - LUN MER VEN,SLR-ST-65,0,205058---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290909.3,5043323.61,-73.677837,45.529691,Saint-Laurent
205060,7,771653,14982,8H À 16H30 - LUN MER VEN,SLR-ST-65,0,205060---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290975.29,5043370.58,-73.676994,45.530115,Saint-Laurent
205061,7,771654,14982,8H À 16H30 - LUN MER VEN,SLR-ST-65,0,205061---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,291054.13,5043398.57,-73.675985,45.530368,Saint-Laurent
205065,7,757206,14974,8H00 À 9H00 LUN ET MER 15 MARS À 15 NOV - ENTRETIEN,SLR-ST-57,0,205065---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290792.32,5043150.93,-73.67933,45.528135,Saint-Laurent
205066,7,757207,14974,8H00 À 9H00 LUN ET MER 15 MARS À 15 NOV - ENTRETIEN,SLR-ST-57,0,205066---0,STATIONNEMENT,0,3/22/2010,,Réel,3- Fût,290824.71,5043137.76,-73.678915,45.528017,Saint-Laurent
205076,7,856136,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,,STATIONNEMENT,1,2/14/2012,,En conception,4- Poteau en bois,290971.31,5042810.83,-73.677029,45.525078,Saint-Laurent
205081,7,851822,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,205081---0,STATIONNEMENT,1,2/1/2012,,En conception,4- Poteau en bois,290928.28,5042910.48,-73.677582,45.525974,Saint-Laurent
205082,7,851779,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,205082---0,STATIONNEMENT,1,2/1/2012,,En conception,4- Poteau en bois,290882.08,5042929.13,-73.678174,45.526141,Saint-Laurent
205088,6,768047,2413,\P EN TOUT TEMPS,SD-TT,0,205088---2,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,290332.09,5043308.02,-73.685226,45.529539,Saint-Laurent
205103,7,860070,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,,STATIONNEMENT,2,2/24/2012,,En conception,3- Fût,290611.0,5043271.08,-73.681654,45.529212,Saint-Laurent
205103,6,860071,2413,\P EN TOUT TEMPS,SD-TT,2,,STATIONNEMENT,2,2/24/2012,,En conception,3- Fût,290611.0,5043271.08,-73.681654,45.529212,Saint-Laurent
205105,7,860076,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,205105---0,STATIONNEMENT,1,2/24/2012,,En conception,3- Fût,290645.43,5043348.39,-73.681216,45.529909,Saint-Laurent
205107,7,860093,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,205107---0,STATIONNEMENT,1,2/24/2012,,En conception,3- Fût,290686.38,5043423.91,-73.680694,45.530589,Saint-Laurent
205114,7,855122,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,,STATIONNEMENT,1,2/10/2012,,En conception,4- Poteau en bois,290262.89,5043044.77,-73.686104,45.527169,Saint-Laurent
205116,7,851649,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,205116---0,STATIONNEMENT,1,2/1/2012,,En conception,4- Poteau en bois,290358.7,5043142.69,-73.684881,45.528052,Saint-Laurent
205117,7,773333,14879,PERMISSION DE STATIONNER,SLR-ST-149,2,205117---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,290317.63,5043159.28,-73.685407,45.5282,Saint-Laurent
